ID,credit_score,tenure,balance,number_of_products,has_credit_card,is_active_member,salary,customer_profile,Y
12,778,0,105617.73,2,1,1,133699.81,"This customer is a 37-year-old female from Germany with a credit score of 778.0. She has a high estimated salary of 133699.8125 and a substantial balance of 105617.7265625. She has two products with the bank, including a credit card, and is an active member. Despite her tenure being 0.0, her financial stability and creditworthiness make her an ideal customer for the bank.",1
13,457,7,164496.98,1,1,1,163327.27,This customer is a 38-year-old female from France with a credit score of 457.0. She has been a customer for 7.0 years and has a balance of 164496.984375. She has one product with the bank and has a credit card. She is an active member and has an estimated salary of 163327.265625.,0
14,592,3,0.0,2,1,1,19645.65,"This customer is a 27-year-old male from France with a credit score of 592.0. He has been a customer for 3.0 years and currently has a balance of 0.0. He has 2.0 products with the bank, including a credit card, and is an active member. His estimated salary is 19645.650390625.",0
15,574,3,134348.56,1,1,0,63163.99,"This customer is a 33-year-old female from France with a credit score of 574.0. She has been a customer for 3.0 years and currently has a balance of 134348.5625. She has one product with the bank and has a credit card. However, she is not an active member. Her estimated salary is 63163.98828125.",0
16,776,1,0.0,2,1,0,53477.76,"This customer is a 36-year-old male from France with a credit score of 776.0. He has been a customer for 1.0 year and currently has a balance of 0.0. He has 2.0 products with the bank and holds a credit card. However, he is not an active member. His estimated salary is 53477.76171875.",0
17,721,2,0.0,2,1,0,168219.75,"This customer is a 41-year-old male from France with a credit score of 721.0. He has been a customer for 2.0 years and currently has a balance of 0.0. He has 2.0 products with the bank and holds a credit card. However, he is not an active member. His estimated salary is 168219.75.",0
18,593,6,171740.69,1,0,0,20893.61,This customer is a 50-year-old male from France with a credit score of 593.0. He has been a customer for 6.0 years and has a balance of 171740.6875. He only has one product with the bank and does not have a credit card or active membership. His estimated salary is 20893.609375.,0
19,686,6,0.0,2,1,1,179093.27,"This customer is a 32-year-old male from France with a credit score of 686.0. He has been a customer for 6.0 years and currently has a balance of 0.0. He has 2.0 products with the bank, including a credit card, and is an active member. His estimated salary is 179093.265625.",0
20,632,2,0.0,2,0,0,165385.55,This customer is a 34-year-old female from France with a credit score of 632.0. She has been a customer for 2.0 years and currently has a balance of 0.0. She has 2.0 products with the bank but does not have a credit card and is not an active member. Her estimated salary is 165385.546875.,0
21,686,6,149238.97,1,1,1,97825.23,This customer is a 38-year-old male from France with a credit score of 686.0. He has been a customer for 6.0 years and has a balance of 149238.96875. He currently has one product with the bank and has a credit card. He is an active member and has an estimated salary of 97825.2265625.,0
22,702,1,103549.24,1,0,0,9712.52,This customer is a 40-year-old female from France with a credit score of 702.0. She has been a customer for 1.0 year and currently has a balance of 103549.2421875. She has one product with the company and does not have a credit card or active membership. Her estimated salary is 9712.51953125.,1
23,746,4,0.0,1,0,1,65166.6,"This customer is a 34-year-old female from France with a credit score of 746.0. She has been a customer for 4.0 years and currently has a balance of 0.0. She has one product with the bank and does not have a credit card. However, she is an active member and has an estimated salary of 65166.6015625.",0
24,522,1,111432.13,1,1,1,168683.56,This customer is a 25-year-old male from Germany with a credit score of 522.0. He has been a customer for 1.0 year and has a balance of 111432.1328125. He has one product with the bank and has a credit card. He is an active member and has an estimated salary of 168683.5625.,0
25,557,3,54503.55,1,1,1,371.05,This customer is a 33-year-old male from France with a credit score of 557.0. He has been a customer for 3.0 years and currently has a balance of 54503.55078125. He has one product with the bank and has a credit card. He is an active member and has an estimated salary of 371.04998779296875.,0
26,764,9,100480.53,1,1,0,124095.69,"This customer is a 40-year-old female from France with a credit score of 764.0. She has been a customer for 9.0 years and currently has a balance of 100480.53125. She has one product with the company and has a credit card. However, she is not an active member. Her estimated salary is 124095.6875.",0
27,520,3,108914.17,1,1,1,183572.39,This customer is a 31-year-old female from Germany with a credit score of 520.0. She has been a customer for 3.0 years and has a balance of 108914.171875. She has one product with the bank and has a credit card. She is an active member and has an estimated salary of 183572.390625.,1
28,479,6,107637.97,2,0,1,169505.83,This customer is a 24-year-old male from Germany with a credit score of 479.0. He has been a customer for 6.0 years and currently has a balance of 107637.96875. He has 2.0 products with the bank but does not have a credit card. He is an active member and has an estimated salary of 169505.828125.,0
29,673,4,0.0,2,1,0,121440.8,"This customer is a 42-year-old female from France with a credit score of 673.0. She has been a customer for 4.0 years and currently has a balance of 0.0. She has 2.0 products with the bank and holds a credit card. However, she is not an active member. Her estimated salary is 121440.796875.",0
30,591,3,0.0,2,1,0,50123.44,"This customer is a 49-year-old male from France with a credit score of 591.0. He has been a customer for 3.0 years and currently has a balance of 0.0. He has 2.0 products with the bank and holds a credit card. However, he is not an active member. His estimated salary is 50123.44140625.",0
31,845,8,164385.53,1,1,0,150664.97,"This customer is a 33-year-old male from France with a credit score of 845.0. He has been a customer for 8.0 years and has a balance of 164385.53125. He currently has 1.0 product with the bank and has a credit card. However, he is not an active member. His estimated salary is 150664.96875.",0
32,549,9,135020.2,2,1,1,23343.18,"This customer is a 31-year-old female from Germany with a credit score of 549.0. She has been a customer for 9.0 years and currently has a balance of 135020.203125. She has 2.0 products with the bank, including a credit card, and is an active member. Her estimated salary is 23343.1796875.",0
33,675,3,0.0,2,1,0,45348.08,"This customer is a 33-year-old male from Spain with a credit score of 675.0. He has been a customer for 3.0 years and currently has a balance of 0.0. He has 2.0 products with the bank, including a credit card. He is not an active member and has an estimated salary of 45348.078125.",0
34,850,3,109799.55,2,1,1,12457.76,"This customer is a 51-year-old male from Spain with an excellent credit score of 850.0. He has been a customer for 3.0 years and currently has a balance of 109799.546875. He holds 2.0 products with the bank, including a credit card, and is an active member. His estimated salary is 12457.759765625.",1
35,508,7,143262.05,1,1,1,129562.74,This customer is a 60-year-old female from France with a credit score of 508.0. She has been a customer for 7.0 years and has a balance of 143262.046875. She has one product with the bank and has a credit card. She is an active member and has an estimated salary of 129562.7421875.,0
36,648,7,0.0,2,1,1,163060.44,"This customer is a 27-year-old female from Spain with a credit score of 648.0. She has been a member for 7.0 years and currently has 2.0 products with the company, including a credit card. She is an active member with a balance of 0.0 and an estimated salary of 163060.4375.",0
37,655,6,130935.56,1,1,0,9241.83,"This customer is a 32-year-old female from Germany with a credit score of 655.0. She has a balance of 130935.5625 and only one product with the bank, which is a credit card. She has been a customer for 6.0 years but is not an active member. Her estimated salary is 9241.830078125.",1
38,437,9,111634.29,2,0,1,166440.31,This customer is a 49-year-old male from France with a credit score of 437.0. He has been a customer for 9.0 years and currently has a balance of 111634.2890625. He has 2.0 products with the bank but does not have a credit card. He is an active member and has an estimated salary of 166440.3125.,0
39,850,2,80931.75,1,0,0,12639.67,This customer is a 35-year-old female from Germany with a credit score of 850.0. She has been a customer for 2.0 years and currently has a balance of 80931.75. She has one product with the bank and does not have a credit card or active membership. Her estimated salary is 12639.669921875.,1
40,850,5,114491.82,1,1,0,99689.48,"This customer is a 39-year-old female from Germany with an excellent credit score of 850.0. She has been a customer for 5.0 years and currently has a balance of 114491.8203125. She has one product with the bank and holds a credit card. However, she is not an active member. Her estimated salary is 99689.4765625.",0
41,726,0,185734.75,1,1,1,102036.82,This customer is a 34-year-old female from France with a credit score of 726.0. She has a balance of 185734.75 and has one product with the bank. She also has a credit card and is an active member. Her estimated salary is 102036.8203125.,0
42,600,10,95502.21,1,0,0,19842.18,This customer is a 46-year-old male from France with a credit score of 600.0. He has been a customer for 10.0 years and currently has a balance of 95502.2109375. He only has one product with the bank and does not have a credit card. He is not an active member and has an estimated salary of 19842.1796875.,0
43,743,6,0.0,2,0,1,107867.38,This customer is a 73-year-old female from France with a credit score of 743.0. She has been a customer for 6.0 years and currently has a balance of 0.0. She has 2.0 products with the bank but does not have a credit card. She is an active member and has an estimated salary of 107867.3828125.,0
44,714,5,141173.03,1,0,1,98896.06,"This customer is a 34-year-old male from France with a credit score of 714.0. He has been a customer for 5.0 years and has a balance of 141173.03125. He currently has 1.0 product with the bank and does not have a credit card. However, he is an active member of the bank and has an estimated salary of 98896.0625.",0
45,490,4,0.0,2,1,0,32089.57,"This customer is a 29-year-old male from France with a credit score of 490.0. He has been a customer for 4.0 years and currently has a balance of 0.0. He has 2.0 products with the bank and has a credit card. However, he is not an active member. His estimated salary is 32089.5703125.",0
46,481,3,163714.52,1,1,0,96123.72,"This customer is a 44-year-old male from Germany with a credit score of 481.0. He has been a customer for 3.0 years and currently has a balance of 163714.515625. He has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 96123.71875.",0
47,602,7,90602.42,2,1,1,51695.41,"This customer is a 35-year-old male from Germany with a credit score of 602.0. He has been a customer for 7.0 years and currently has a balance of 90602.421875. He has 2.0 products with the bank, including a credit card, and is an active member. His estimated salary is 51695.41015625.",0
48,782,2,94493.03,1,0,1,101866.39,"This customer is a 33-year-old female from France with a credit score of 782.0. She has been a customer for 2.0 years and has a balance of 94493.03125. She currently has 1.0 product with the bank and does not have a credit card. However, she is an active member and has an estimated salary of 101866.390625.",0
49,538,5,0.0,2,1,0,126933.73,"This customer is a 43-year-old male from Spain with a credit score of 538.0. He has been a customer for 5.0 years and currently has a balance of 0.0. He has 2.0 products with the bank, including a credit card. However, he is not an active member. His estimated salary is 126933.7265625.",0
50,614,6,118715.86,1,1,0,133591.11,"This customer is a 44-year-old female from Germany with a credit score of 614.0. She has been a customer for 6.0 years and currently has a balance of 118715.859375. She has one product with the bank and has a credit card. However, she is not an active member. Her estimated salary is 133591.109375.",1
51,577,10,125389.7,2,1,1,178616.73,This customer is a 60-year-old male from France with a credit score of 577.0. He has been a customer for 10.0 years and currently has a balance of 125389.703125. He has 2.0 products with the bank and holds a credit card. He is an active member and has an estimated salary of 178616.734375.,0
52,846,6,127103.97,1,1,1,41516.44,This customer is a 37-year-old female from France with a credit score of 846.0. She has been a customer for 6.0 years and has a balance of 127103.96875. She has one product with the bank and has a credit card. She is an active member and has an estimated salary of 41516.44140625.,0
53,640,5,90402.77,1,1,1,3298.65,This customer is a 26-year-old male from Germany with a credit score of 640.0. He has been a customer for 5.0 years and has a balance of 90402.7734375. He currently has 1.0 product with the bank and has a credit card. He is an active member and has an estimated salary of 3298.64990234375.,0
54,766,5,126285.73,1,1,0,177614.17,"This customer is a 27-year-old male from Germany with a credit score of 766.0. He has been a customer for 5.0 years and currently has a balance of 126285.7265625. He has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 177614.171875.",1
55,581,0,53291.86,1,0,0,196582.28,This customer is a 30-year-old male from Spain with a credit score of 581.0. He has a balance of 53291.859375 and only one product with the bank. He does not have a credit card and is not an active member. His estimated salary is 196582.28125.,0
56,624,6,0.0,1,1,0,582.59,"This customer is a 34-year-old female from Spain with a credit score of 624.0. She has been a customer for 6.0 years and currently has a balance of 0.0. She has one product with the bank and has a credit card. However, she is not an active member. Her estimated salary is 582.5900268554688.",1
57,795,4,0.0,2,0,0,155711.64,This customer is a 29-year-old male from Spain with a credit score of 795.0. He has been a customer for 4.0 years and currently has a balance of 0.0. He has 2.0 products with the bank but does not have a credit card. He is not an active member but has an estimated salary of 155711.640625.,0
58,621,6,0.0,2,1,1,99128.13,This customer is a 34-year-old male from France with a credit score of 621.0. He has been a customer for 6.0 years and currently has a balance of 0.0. He has 2.0 products with the bank and has a credit card. He is an active member and has an estimated salary of 99128.1328125.,0
59,756,3,100717.85,3,1,1,73406.04,This customer is a 39-year-old female from Germany with a credit score of 756.0. She has been a customer for 3.0 years and currently has a balance of 100717.8515625. She has 3.0 products with the bank and has a credit card. She is an active member and her estimated salary is 73406.0390625.,1
60,555,4,146798.81,1,1,1,74149.77,This customer is a 55-year-old male from France with a credit score of 555.0. He has been a customer for 4.0 years and has a balance of 146798.8125. He has one product with the bank and has a credit card. He is an active member and has an estimated salary of 74149.7734375.,0
61,741,5,0.0,1,1,1,64839.23,This customer is a 32-year-old male from France with a credit score of 741.0. He has been a customer for 5.0 years and currently has a balance of 0.0. He has one product with the bank and has a credit card. He is an active member and has an estimated salary of 64839.23046875.,0
62,704,3,0.0,2,0,1,152884.84,This customer is a 44-year-old male from France with a credit score of 704.0. He has been a customer for 3.0 years and currently has a balance of 0.0. He has 2.0 products with the bank but does not have a credit card. He is an active member and has an estimated salary of 152884.84375.,0
63,639,5,162039.78,1,1,1,84361.72,This customer is a 60-year-old female from France with a credit score of 639.0. She has been a customer for 5.0 years and has a balance of 162039.78125. She has one product with the bank and has a credit card. She is an active member and has an estimated salary of 84361.71875.,1
64,707,8,0.0,2,1,0,33159.37,"This customer is a 30-year-old male from France with a credit score of 707.0. He has been a customer for 8.0 years and currently has a balance of 0.0. He has 2.0 products with the bank and has a credit card. However, he is not an active member. His estimated salary is 33159.37109375.",0
65,651,5,147037.31,1,0,0,141763.27,This customer is a 26-year-old male from Germany with a credit score of 651.0. He has been a customer for 5.0 years and currently has a balance of 147037.3125. He only has one product with the bank and does not have a credit card. He is not an active member but has an estimated salary of 141763.265625.,0
66,632,3,193354.86,2,1,0,149188.4,"This customer is a 40-year-old male from France with a credit score of 632.0. He has been a customer for 3.0 years and currently has a balance of 193354.859375. He has 2.0 products with the bank and has a credit card. However, he is not an active member. His estimated salary is 149188.40625.",0
67,571,9,0.0,2,0,1,77519.62,This customer is a 33-year-old female from France with a credit score of 571.0. She has been a customer for 9.0 years and currently has a balance of 0.0. She has 2.0 products with the bank but does not have a credit card. She is an active member and has an estimated salary of 77519.6171875.,0
68,635,5,78992.75,2,0,0,153265.31,This customer is a 43-year-old male from Germany with a credit score of 635.0. He has been a customer for 5.0 years and currently has a balance of 78992.75. He has 2.0 products with the bank but does not have a credit card and is not an active member. His estimated salary is 153265.3125.,0
69,603,6,108122.39,2,1,0,108488.33,"This customer is a 44-year-old male from Germany with a credit score of 603.0. He has been a customer for 6.0 years and currently has a balance of 108122.390625. He has 2.0 products with the bank and has a credit card. However, he is not an active member. His estimated salary is 108488.328125.",1
70,664,7,60263.23,1,1,0,170835.31,"This customer is a 39-year-old male from Germany with a credit score of 664.0. He has been a customer for 7.0 years and currently has a balance of 60263.23046875. He has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 170835.3125.",0
71,457,8,73700.12,3,1,1,185750.02,This customer is a 41-year-old male from France with a credit score of 457.0. He has been a customer for 8.0 years and currently has a balance of 73700.1171875. He has 3.0 products with the bank and holds a credit card. He is an active member and has an estimated salary of 185750.015625.,1
72,676,10,106242.67,1,1,1,166678.28,This customer is a 37-year-old male from France with a credit score of 676.0. He has been a customer for 10.0 years and currently has a balance of 106242.671875. He has one product with the bank and has a credit card. He is an active member and has an estimated salary of 166678.28125.,0
73,586,5,0.0,3,1,0,170487.4,"This customer is a 28-year-old female from France with a credit score of 586.0. She has been a customer for 5.0 years and currently has 3.0 products with the bank, including a credit card. She has a balance of 0.0 and is not an active member. Her estimated salary is 170487.40625.",1
74,738,1,115409.18,2,0,0,180456.8,This customer is a 40-year-old female from Germany with a credit score of 738.0. She has been a customer for 1.0 year and currently has a balance of 115409.1796875. She has 2.0 products with the bank but does not have a credit card and is not an active member. Her estimated salary is 180456.796875.,0
75,548,0,101084.36,1,1,0,42749.85,"This customer is a 33-year-old female from Germany with a credit score of 548.0. She has a balance of 101084.359375 and only one product with the bank, which is a credit card. She is not an active member and has no tenure with the bank. Her estimated salary is 42749.8515625.",0
76,459,6,129634.25,2,1,1,177683.02,This customer is a 42-year-old female from Spain with a credit score of 459.0. She has been a member for 6.0 years and has a balance of 129634.25. She has 2.0 products with the company and has a credit card. She is an active member and has an estimated salary of 177683.015625.,1
77,745,7,0.0,2,1,1,194230.81,"This customer is a 38-year-old female from Spain with a credit score of 745.0. She has been a member for 7.0 years and currently has 2.0 products with the company, including a credit card. She is an active member with a balance of 0.0 and an estimated salary of 194230.8125.",0
78,698,2,166178.02,2,1,1,71972.95,This customer is a 37-year-old female from France with a credit score of 698.0. She has been a customer for 2.0 years and currently has a balance of 166178.015625. She has 2.0 products with the bank and has a credit card. She is an active member and her estimated salary is 71972.953125.,0
79,608,3,139529.94,2,1,1,175696.16,"This customer is a 63-year-old female from Spain with a credit score of 608.0. She has been a customer for 3.0 years and currently has a balance of 139529.9375. She has 2.0 products with the bank, including a credit card, and is an active member. Her estimated salary is 175696.15625.",1
80,850,3,0.0,2,1,0,128892.36,"This customer is a 41-year-old male from France with an excellent credit score of 850.0. He has been a customer for 3.0 years and currently has a balance of 0.0. He has 2.0 products with the bank and holds a credit card. However, he is not an active member. His estimated salary is 128892.359375.",0
81,619,10,84651.79,1,1,1,184754.27,This customer is a 38-year-old male from Germany with a credit score of 619.0. He has been a customer for 10.0 years and currently has a balance of 84651.7890625. He has one product with the bank and has a credit card. He is an active member and has an estimated salary of 184754.265625.,0
82,586,1,149814.55,1,1,0,31830.06,"This customer is a 32-year-old male from Germany with a credit score of 586.0. He has been a customer for 1.0 year and has a balance of 149814.546875. He has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 31830.060546875.",0
83,850,1,108822.4,1,1,1,132173.31,This customer is a 31-year-old female from Germany with a credit score of 850.0. She has been a customer for 1.0 year and has a balance of 108822.3984375. She has one product with the bank and has a credit card. She is an active member and has an estimated salary of 132173.3125.,0
84,735,5,160454.16,2,0,1,114957.22,This customer is a 28-year-old male from Germany with a credit score of 735.0. He has been a customer for 5.0 years and currently has a balance of 160454.15625. He has 2.0 products with the bank but does not have a credit card. He is an active member and has an estimated salary of 114957.21875.,0
85,803,5,0.0,1,1,0,196466.83,"This customer is a 42-year-old male from France with a credit score of 803.0. He has been a customer for 5.0 years and currently has a balance of 0.0. He has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 196466.828125.",1
86,740,7,0.0,1,1,1,13177.4,This customer is a 36-year-old male from France with a credit score of 740.0. He has been a customer for 7.0 years and currently has a balance of 0.0. He has one product with the bank and has a credit card. He is an active member and has an estimated salary of 13177.400390625.,0
87,504,0,54980.81,1,1,1,136909.88,This customer is a 34-year-old male from Spain with a credit score of 504.0. He has a balance of 54980.80859375 and has one product with the bank. He also has a credit card and is an active member. His estimated salary is 136909.875.,0
88,513,3,141004.45,1,1,0,105028.46,"This customer is a 40-year-old male from France with a credit score of 513.0. He has been a customer for 3.0 years and currently has a balance of 141004.453125. He has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 105028.4609375.",0
89,681,7,0.0,2,1,1,55054.48,"This customer is a 63-year-old female from France with a credit score of 681.0. She has been a customer for 7.0 years and currently has a balance of 0.0. She has 2.0 products with the bank, including a credit card, and is an active member. Her estimated salary is 55054.48046875.",0
90,640,5,176099.12,1,1,1,8404.73,This customer is a 42-year-old female from France with a credit score of 640.0. She has been a customer for 5.0 years and has a balance of 176099.125. She has one product with the bank and has a credit card. She is an active member and has an estimated salary of 8404.73046875.,0
91,499,6,0.0,2,1,1,81409.0,"This customer is a 39-year-old male from Spain with a credit score of 499.0. He has been a customer for 6.0 years and currently has a balance of 0.0. He has 2.0 products with the bank, including a credit card, and is an active member. His estimated salary is 81409.0.",0
92,609,7,0.0,2,0,1,52332.85,This customer is a 53-year-old male from France with a credit score of 609.0. He has been a customer for 7.0 years and currently has a balance of 0.0. He has 2.0 products with the bank but does not have a credit card. He is an active member and has an estimated salary of 52332.8515625.,0
93,693,4,130661.96,1,1,1,101918.96,This customer is a 40-year-old male from France with a credit score of 693.0. He has been a customer for 4.0 years and has a balance of 130661.9609375. He currently has 1.0 product with the bank and has a credit card. He is an active member and has an estimated salary of 101918.9609375.,0
94,637,1,122185.53,1,1,0,102566.46,"This customer is a 30-year-old male from Germany with a credit score of 637.0. He has a balance of 122185.53125 and only one product with the bank, which is a credit card. He has been a customer for 1.0 year but is not an active member. His estimated salary is 102566.4609375.",1
95,699,8,125927.51,2,1,0,147661.47,"This customer is a 31-year-old male from Spain with a credit score of 699.0. He has been a customer for 8.0 years and currently has a balance of 125927.5078125. He has 2.0 products with the bank and has a credit card. However, he is not an active member. His estimated salary is 147661.46875.",0
96,664,9,114519.57,2,0,1,79222.02,This customer is a 31-year-old female from France with a credit score of 664.0. She has been a customer for 9.0 years and currently has a balance of 114519.5703125. She has 2.0 products with the bank but does not have a credit card. She is an active member and has an estimated salary of 79222.0234375.,0
97,583,4,105907.42,2,1,1,195732.05,"This customer is a 27-year-old male from Germany with a credit score of 583.0. He has been a customer for 4.0 years and currently has a balance of 105907.421875. He has 2.0 products with the bank, including a credit card, and is an active member. His estimated salary is 195732.046875.",0
98,640,8,120591.19,1,0,0,195123.94,This customer is a 45-year-old male from Germany with a credit score of 640.0. He has been a customer for 8.0 years and currently has a balance of 120591.1875. He has one product with the bank and does not have a credit card or active membership. His estimated salary is 195123.9375.,0
99,637,5,0.0,1,1,0,28092.77,"This customer is a 63-year-old female from France with a credit score of 637.0. She has been a customer for 5.0 years and currently has a balance of 0.0. She has one product with the bank and has a credit card. However, she is not an active member. Her estimated salary is 28092.76953125.",1
100,641,6,0.0,2,0,0,121138.77,This customer is a 42-year-old female from France with a credit score of 641.0. She has been a customer for 6.0 years and currently has a balance of 0.0. She has 2.0 products with the bank but does not have a credit card and is not an active member. Her estimated salary is 121138.7734375.,0
101,678,3,145747.67,2,0,1,89566.74,This customer is a 36-year-old male from Germany with a credit score of 678.0. He has been a customer for 3.0 years and currently has a balance of 145747.671875. He has 2.0 products with the bank but does not have a credit card. He is an active member and has an estimated salary of 89566.7421875.,0
102,777,5,147531.81,1,1,1,38819.45,This customer is a 42-year-old female from France with a credit score of 777.0. She has been a customer for 5.0 years and has a balance of 147531.8125. She has one product with the bank and has a credit card. She is an active member and has an estimated salary of 38819.44921875.,0
103,658,2,0.0,2,1,1,84694.49,"This customer is a 24-year-old female from France with a credit score of 658.0. She has been a customer for 2.0 years and currently has a balance of 0.0. She has 2.0 products with the bank, including a credit card, and is an active member. Her estimated salary is 84694.4921875.",0
104,628,3,0.0,1,1,1,188193.25,This customer is a 33-year-old female from Spain with a credit score of 628.0. She has been a member for 3.0 years and currently has a balance of 0.0. She has one product with the company and has a credit card. She is an active member and has an estimated salary of 188193.25.,0
105,758,7,0.0,2,0,0,82996.47,This customer is a 33-year-old female from France with a credit score of 758.0. She has been a customer for 7.0 years and currently has a balance of 0.0. She has 2.0 products with the bank but does not have a credit card and is not an active member. Her estimated salary is 82996.46875.,0
106,775,6,179886.4,2,0,0,153122.58,This customer is a 38-year-old female from Germany with a credit score of 775.0. She has been a customer for 6.0 years and currently has a balance of 179886.40625. She has 2.0 products with the bank but does not have a credit card and is not an active member. Her estimated salary is 153122.578125.,0
107,821,3,87807.29,2,1,1,64613.81,"This customer is a 42-year-old male from Germany with a credit score of 821.0. He has been a customer for 3.0 years and currently has a balance of 87807.2890625. He has 2.0 products with the bank, including a credit card, and is an active member. His estimated salary is 64613.80859375.",0
108,543,8,140894.06,2,1,1,118059.19,This customer is a 37-year-old male from Germany with a credit score of 543.0. He has been a customer for 8.0 years and currently has a balance of 140894.0625. He has 2.0 products with the bank and holds a credit card. He is an active member and has an estimated salary of 118059.1875.,0
109,850,8,92244.83,2,1,0,54949.73,"This customer is a 43-year-old female from Germany with an excellent credit score of 850.0. She has been a customer for 8.0 years and currently has a balance of 92244.828125. She holds 2.0 products with the bank, including a credit card. Although she is not an active member, her estimated salary is 54949.73046875.",0
110,719,1,100829.94,1,1,1,165008.97,This customer is a 35-year-old male from Spain with a credit score of 719.0. He has been a customer for 1.0 year and has a balance of 100829.9375. He has one product with the bank and has a credit card. He is an active member and has an estimated salary of 165008.96875.,0
111,838,9,123105.88,2,1,0,145765.83,"This customer is a 43-year-old male from Spain with a credit score of 838.0. He has been a customer for 9.0 years and currently has a balance of 123105.8828125. He has 2.0 products with the bank and holds a credit card. However, he is not an active member. His estimated salary is 145765.828125.",0
112,556,9,145018.64,2,1,0,90928.02,"This customer is a 37-year-old male from Germany with a credit score of 556.0. He has been a customer for 9.0 years and currently has a balance of 145018.640625. He has 2.0 products with the bank and holds a credit card. However, he is not an active member. His estimated salary is 90928.0234375.",1
113,598,9,0.0,1,1,0,68462.59,"This customer is a 40-year-old female from France with a credit score of 598.0. She has been a customer for 9.0 years and currently has a balance of 0.0. She has one product with the bank and has a credit card. However, she is not an active member. Her estimated salary is 68462.59375.",1
114,633,6,0.0,2,0,0,41642.29,This customer is a 30-year-old female from France with a credit score of 633.0. She has been a customer for 6.0 years and currently has a balance of 0.0. She has 2.0 products with the bank but does not have a credit card and is not an active member. Her estimated salary is 41642.2890625.,0
115,770,8,0.0,2,1,0,100557.03,"This customer is a 30-year-old female from France with a credit score of 770.0. She has been a customer for 8.0 years and currently has a balance of 0.0. She has 2.0 products with the company and holds a credit card. However, she is not an active member. Her estimated salary is 100557.03125.",0
116,603,8,148897.02,1,0,0,105052.9,This customer is a 40-year-old female from Germany with a credit score of 603.0. She has been a customer for 8.0 years and currently has a balance of 148897.015625. She has one product with the bank and does not have a credit card or active membership. Her estimated salary is 105052.8984375.,0
